id,name,type,grapes,region,description,similar_to
1,Mercat Brut Rose,sparkling,Macabeo,Penedes,"Pale salmon pink in color with zesty aromas of citrus, wild strawberry and fennel. Apple, berry and brioche flavors are balanced on a firm structure of mineral acidity and fine bubbles.",Sparkling Rosé
2,Marques de Caceres Brut,sparkling,Macabeo,Penedes,"Pale straw color revived by fine bubbles. Bouquet of citrus fruits with notes of brioche with a refreshing, balanced structure.",Champagne
3,III Lustros Grand Reserva,sparkling,"Xarello, Macabeo",Penedes,"Creamy texture and finesse of the bubbles with very attractive smoke and candied lemon-peel nose. Dried fruits and honey on the nose and palate with a long finish.",Vintage Champagne
4,Los Bermejos,sparkling,Malvasia,Canary Islands,"Pleasant nose with white flowers and the dry palate is supple with good freshness and a honeyed, slightly exotic with ripe peach and orange zest notes on the finish.",Viognier
5,Segura Viudas Heredad,sparkling,"Macabeo, Chardonnay",Penedes,"Straw yellow in color, with a small, fine, plentiful mousse with aromas of aging on lees, lightly smokey.",Blanc de Blancs
6,Segura Viudas Aria Brut,sparkling,Macabeo,Penedes,"Dry and lively with flavors of pineapple, almonds, honey, pears and fresh bread.",Prosecco
7,Flor de Muga,rosé,Garnacha,Rioja,"An elegant, pale pink colour with very marked aromatic intensity. Complex nose with stone fruit aromas (peach, nectarine), citrus fruit, white blossom.",Dry Rosé
8,Muga Rose,rosé,"Garnacha, Viura, Tempranillo",Rioja,"Bright pink color with nectarine and tangerine on the nose, and cantaloupe and peach on the palate and a long finish.",Dry Rosé
9,Hacienda Rose,rosé,Tempranillo,Navarra,"Intense presence of red fruits with pronounced citric notes, flowers. Velvety, refined and elegant.",Dry Rosé
10,Shaya,white,Verdejo,Rueda,"Well balanced, complex with a distinct minerality which augments the abundance of fruit flavors.",Sauvignon Blanc
11,Shaya Habis,white,Verdejo,Rueda,"Grapes are specially selected and aged in oak, creating a richer more complex wine.",Oaked Sauvignon Blanc
12,La Caña Navia,white,Albariño,Rias Baixas,"Aromas of orange, nectarine, citrus, and touch of anise. Mineral-tinged finishing flavors of pear and orange peel.",Albariño
